game_id,season,week,date,tip_et,home_team,away_team,neutral_site,conference_game,total_line,spread_home,provider,over_price,under_price,spread_home_price,spread_away_price,total_book,spread_book,h_games,a_games,exp_total,exp_margin,total_pred,total_raw,total_edge,total_disagree,total_sigma,total_model,total_p_over,margin_pred,margin_raw,margin_edge,margin_disagree,margin_sigma,margin_model,margin_p_over,total_pick,total_p_win,total_price,total_payout,total_ev,total_stake,spread_side,spread_number,spread_pick,spread_p_win,spread_price,spread_payout,spread_ev,spread_stake,thin_data,total_strength,spread_strength,prediction_date,p_home_win,p_away_win,kalshi_home_ask,kalshi_away_ask,kalshi_home_ev,kalshi_away_ev,kalshi_spread_c,kalshi_side,kalshi_ticker,kalshi_tradeable,ml_pick,ml_ask,ml_p_home,ml_ev,ml_roi,ml_stake,ml_model_cents,kt_pick,kt_ticker,ks_pick,ks_ticker,kt_strike,kt_ask,kt_prob,kt_ev,kt_book_gap,ks_strike,ks_ask,ks_prob,ks_ev,ks_book_gap,kalshi_incoherent,kt_rungs,ks_rungs,ml_ref_ask,ml_ref_prob,ml_ref_ev,ml_ref_side,ks_ref_side,kt_ref_tradeable,ks_ref_tradeable,kt_ref_strike,kt_ref_ask,kt_ref_prob,kt_ref_ev,kt_ref_spread_c,ks_ref_strike,ks_ref_ask,ks_ref_prob,ks_ref_ev,ks_ref_spread_c
401864495,2026,1,2026-09-04,"Fri Sep 04, 6:30 PM",Eastern Michigan,San José State,False,False,55.0,-1.5,Bovada,,,,,,,1,1,56.28057003178552,9.705009945852783,55.1,55.4,0.1,0.4,16.12,total_market,0.5023,2.1,5.5,0.6,4.0,15.38,margin_market,0.5157,Over,0.5023,,0.9090909090909092,-0.041,0.0,Eastern Michigan,-1.5,Eastern Michigan -1.5,0.5157,,0.9090909090909092,-0.015,0.0,True,pass,thin,2026-09-04,0.5543,0.4457,0.58,0.43,-0.0428,-0.0015,1.0,San José State,KXNCAAFGAME-26SEP04SJSUEMU-SJSU,True,,,0.5543,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.43,0.4457,-0.0015,San José State,San José State,True,True,54.5,0.49,0.5148,0.0074,1.0,1.5,0.41,0.4075,-0.0195,1.0
401858435,2026,1,2026-09-04,"Fri Sep 04, 7:00 PM",Purdue,Indiana State,False,False,56.0,-35.5,Bovada,,,,,,,0,1,54.08498599514986,12.409798105462563,56.5,57.9,0.5,1.9,16.12,total_market,0.512,35.7,36.6,0.2,1.1,15.38,margin_market,0.5042,Over,0.512,,0.9090909090909092,-0.023,0.0,Purdue,-35.5,Purdue -35.5,0.5042,,0.9090909090909092,-0.037,0.0,True,pass,pass,2026-09-04,0.9899,0.0101,0.99,0.02,-0.0008,-0.0113,1.0,Purdue,KXNCAAFGAME-26SEP04INSTPUR-PUR,True,,,0.9899,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.99,0.0101,-0.0113,Purdue,Purdue,True,True,56.5,0.5,0.5,-0.0175,1.0,35.5,0.47,0.5052,0.0178,1.0
401866623,2026,1,2026-09-04,"Fri Sep 04, 7:00 PM",Georgia State,North Carolina A&T,False,False,61.0,-28.0,Bovada,,,,,,,0,1,55.64739099324481,19.494060181748345,61.1,61.2,0.1,0.2,16.12,total_market,0.5013,28.5,31.5,0.5,3.5,15.38,margin_market,0.5136,Over,0.5013,,0.9090909090909092,-0.043,0.0,Georgia State,-28.0,Georgia State -28.0,0.5136,,0.9090909090909092,-0.019,0.0,True,pass,pass,2026-09-04,0.9681,0.0319,0.95,0.06,0.0148,-0.032,1.0,Georgia State,KXNCAAFGAME-26SEP04NCATGAST-GAST,True,,,0.9681,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.95,0.0319,-0.032,Georgia State,Georgia State,True,True,61.5,0.42,0.4901,0.053,1.0,27.5,0.55,0.5259,-0.0414,1.0
401856664,2026,1,2026-09-04,"Fri Sep 04, 8:00 PM",Oklahoma,UTEP,False,False,50.0,-41.0,Bovada,,,,,,,0,0,53.556689699396415,28.17082679102959,50.0,50.2,0.0,0.2,16.12,total_market,0.501,40.4,37.1,-0.6,-3.9,15.38,margin_market,0.4847,Under,0.499,,0.9090909090909092,-0.047,0.0,UTEP,41.0,UTEP +41.0,0.5153,,0.9090909090909092,-0.016,0.0,True,pass,pass,2026-09-04,0.9957,0.0043,1.0,0.01,,-0.0064,1.0,UTEP,KXNCAAFGAME-26SEP04UTEPOKLA-UTEP,True,,,0.9957,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.01,0.0043,-0.0064,UTEP,Oklahoma,True,True,50.5,0.53,0.4876,-0.0598,1.0,41.5,0.48,0.4715,-0.026,1.0
401856769,2026,1,2026-09-04,"Fri Sep 04, 8:00 PM",Kansas,Long Island University,False,False,54.5,-42.0,Bovada,,,,,,,0,1,46.637333595844325,15.564090384903189,55.0,56.6,0.5,2.1,16.12,total_market,0.513,41.4,37.9,-0.6,-4.1,15.38,margin_market,0.4842,Over,0.513,,0.9090909090909092,-0.021,0.0,Long Island University,42.0,Long Island University +42.0,0.5158,,0.9090909090909092,-0.015,0.0,True,pass,thin,2026-09-04,0.9964,0.0036,1.0,0.01,,-0.0071,1.0,Long Island University,KXNCAAFGAME-26SEP04LIUKU-LIU,True,,,0.9964,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.01,0.0036,-0.0071,Long Island University,Kansas,True,True,54.5,0.57,0.5124,-0.0748,1.0,41.5,0.57,0.4974,-0.0898,1.0
401858429,2026,1,2026-09-04,"Fri Sep 04, 8:00 PM",Michigan State,Toledo,False,False,48.5,-10.5,Bovada,,,,,,,0,0,49.487230449579926,-1.82803021465206,48.1,47.1,-0.4,-1.4,16.12,total_market,0.4912,10.6,11.4,0.1,0.9,15.38,margin_market,0.5036,Under,0.5087999999999999,,0.9090909090909092,-0.029,0.0,Michigan State,-10.5,Michigan State -10.5,0.5036,,0.9090909090909092,-0.039,0.0,True,pass,pass,2026-09-04,0.7547,0.2453,0.79,0.23,-0.0469,0.0029,1.0,Toledo,KXNCAAFGAME-26SEP04TOLMSU-TOL,True,,,0.7547,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.23,0.2453,0.0029,Toledo,Toledo,True,True,48.5,0.49,0.4901,-0.0174,1.0,10.5,0.07,0.085,0.0105,1.0
401858206,2026,1,2026-09-04,"Fri Sep 04, 9:00 PM",Stanford,Miami,False,True,46.5,24.5,Bovada,,,,,,,1,0,46.99114940411252,-18.44317001992185,47.6,50.8,1.1,4.3,16.12,total_market,0.5266,-24.1,-21.9,0.4,2.6,15.38,margin_market,0.5103,Over,0.5266,,0.9090909090909092,0.005,0.15,Stanford,24.5,Stanford +24.5,0.5103,,0.9090909090909092,-0.026,0.0,True,pass,pass,2026-09-04,0.0586,0.9414,0.06,0.95,-0.0053,-0.0119,1.0,Stanford,KXNCAAFGAME-26SEP04MIASTAN-STAN,True,,,0.0586,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.06,0.9414,-0.0119,Stanford,Miami,True,True,47.5,0.48,0.5025,0.005,1.0,24.5,0.51,0.4896,-0.0379,1.0
401858436,2026,1,2026-09-04,"Fri Sep 04, 9:00 PM",USC,Fresno State,False,False,51.0,-21.5,Bovada,,,,,,,1,0,50.920850270596105,7.954438419004258,50.5,48.9,-0.5,-2.1,16.12,total_market,0.4869,21.4,20.8,-0.1,-0.7,15.38,margin_market,0.4974,Under,0.5131,,0.9090909090909092,-0.02,0.0,Fresno State,21.5,Fresno State +21.5,0.5025999999999999,,0.9090909090909092,-0.04,0.0,True,pass,pass,2026-09-04,0.918,0.082,0.94,0.07,-0.0259,0.0074,1.0,Fresno State,KXNCAAFGAME-26SEP04FRESUSC-FRES,True,,,0.918,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.07,0.082,0.0074,Fresno State,USC,True,True,51.5,0.5,0.4753,-0.0422,1.0,21.5,0.5,0.4974,-0.0201,1.0
401856774,2026,1,2026-09-05,"Sat Sep 05, 10:00 PM",Arizona State,Morgan State,False,False,52.5,-45.0,Bovada,,,,,,,0,1,42.91019754411375,22.085684172521198,54.5,60.6,2.0,8.1,16.12,total_market,0.55,44.9,44.1,-0.1,-0.9,15.38,margin_market,0.4966,Over,0.55,,0.9090909090909091,0.05,1.38,Morgan State,45.0,Morgan State +45.0,0.5034000000000001,,0.9090909090909091,-0.039,0.0,True,thin,pass,2026-09-05,0.9982,0.0018,1.0,0.01,,-0.0089,1.0,Morgan State,KXNCAAFGAME-26SEP05MORGASU-MORG,True,,,0.9982,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.01,0.0018,-0.0089,Morgan State,Arizona State,True,True,52.5,0.52,0.5494,0.0119,1.0,45.5,0.46,0.4844,0.0071,1.0
401864497,2026,1,2026-09-05,"Sat Sep 05, 10:00 PM",Hawai'i,UNLV,False,True,55.5,3.0,Bovada,,,,,,,1,1,57.38322336811572,2.899616210281362,55.5,55.4,-0.0,-0.1,16.12,total_market,0.4992,-2.8,-1.6,0.2,1.4,15.38,margin_market,0.5054,Under,0.5008,,0.9090909090909091,-0.044,0.0,Hawai'i,3.0,Hawai'i +3.0,0.5054,,0.9090909090909091,-0.035,0.0,True,pass,pass,2026-09-05,0.4278,0.5722,0.44,0.57,-0.0294,-0.015,1.0,UNLV,KXNCAAFGAME-26SEP05UNLVHAW-UNLV,True,,,0.4278,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.57,0.5722,-0.015,UNLV,UNLV,True,True,55.5,0.5,0.5,-0.0175,1.0,2.5,0.54,0.5078,-0.0496,1.0
